GeneID,Symbol,Gene Name / Type,log2FC,pvalue
107984021,NA,NA,0.11150000000000038,0.8504905397915693
5627,PROS1,protein S,1.6935000000000002,0.14949862649957632
200894,ARL13B,ARF like GTPase 13B,0.04999999999999982,0.8460788488019031
415117,STX19,syntaxin 19,0.06284999999999996,0.3175267672618526
200895,DHFR2,dihydrofolate reductase 2,0.8730000000000011,0.36760818981836485
63899,NSUN3,NOP2/Sun RNA methyltransferase 3,0.1795,0.7624216889930169
105373992,LOC105373992,uncharacterized LOC105373992,0,NA
255025,LINC00879,long intergenic non-protein coding RNA 879,0,NA
100287639,MTHFD2P1,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1",0,NA
102465864,MIR8060,microRNA 8060,0,NA
285220,EPHA6,EPH receptor A6,0.02359,0.33171797961995275
107986103,LOC107986103,uncharacterized LOC107986103,0,NA
101929278,LOC101929278,uncharacterized LOC101929278,0.002626,0.6412618990884267
84100,ARL6,ARF like GTPase 6,0.17565000000000008,0.4497313510927601
101929298,LOC101929298,uncharacterized LOC101929298,-0.1066,0.39119441500241203
131544,CRYBG3,crystallin beta-gamma domain containing 3,0.16700000000000004,0.7622497512142131
105373994,LOC105373994,uncharacterized LOC105373994,0.004351,0.49999999999999956
84864,RIOX2,ribosomal oxygenase 2,-0.3999999999999986,0.8169754234625657
200959,GABRR3,gamma-aminobutyric acid type A receptor subunit rho3,0,NA
81050,OR5AC2,olfactory receptor family 5 subfamily AC member 2,0,NA
26341,OR5H1,olfactory receptor family 5 subfamily H member 1,0,NA
105373996,LOC105373996,uncharacterized LOC105373996,0,NA
403273,OR5H14,olfactory receptor family 5 subfamily H member 14,0,NA
403274,OR5H15,olfactory receptor family 5 subfamily H member 15,0,NA
105373998,LOC105373998,uncharacterized LOC105373998,0,NA
105373997,LOC105373997,uncharacterized LOC105373997,0,NA
101929320,LOC101929320,uncharacterized LOC101929320,0,NA
105373999,LOC105373999,uncharacterized LOC105373999,0,NA
79295,OR5H6,olfactory receptor family 5 subfamily H member 6,0,NA
79310,OR5H2,olfactory receptor family 5 subfamily H member 2,0,NA
403278,OR5K4,olfactory receptor family 5 subfamily K member 4,0,NA
105374000,LOC105374000,uncharacterized LOC105374000,0,NA
403277,OR5K3,olfactory receptor family 5 subfamily K member 3,0,NA
26339,OR5K1,olfactory receptor family 5 subfamily K member 1,-0.02232,0.49999999999999956
402135,OR5K2,olfactory receptor family 5 subfamily K member 2,0,NA
56650,CLDND1,claudin domain containing 1,-6.805000000000003,0.24662193255181425
2838,GPR15,G protein-coupled receptor 15,0,NA
1371,CPOX,coproporphyrinogen oxidase,0.5570000000000004,0.49965466644235235
100874207,ST3GAL6-AS1,ST3GAL6 antisense RNA 1,0,NA
10402,ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",0.010185,0.6596411353739834
131566,DCBLD2,"discoidin, CUB and LCCL domain containing 2",0.8200000000000003,0.7489174166006471
105374002,LOC105374002,uncharacterized LOC105374002,-0.0693,0.3528846616712185
105374003,LINC00973,long intergenic non-protein coding RNA 973,-0.08955500000000001,0.31015582042912776
107986104,LOC107986104,uncharacterized LOC107986104,-0.1166,0.49999999999999956
