GeneID,Symbol,Gene Name / Type
100287102,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene)
653635,WASH7P,"WASP family homolog 7, pseudogene"
102466751,MIR6859-1,microRNA 6859-1
107985730,MIR1302-2HG,MIR1302-2 host gene
100302278,MIR1302-2,microRNA 1302-2
645520,FAM138A,family with sequence similarity 138 member A
79501,OR4F5,olfactory receptor family 4 subfamily F member 5
100996442,WASH9P,"WAS protein family homolog 9, pseudogene"
729737,LOC729737,uncharacterized LOC729737
102725121,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene)
102723897,LOC102723897,WASH complex subunit 1 pseudogene
102465909,MIR6859-2,microRNA 6859-2
107985721,NA,NA
112268260,LOC112268260,uncharacterized LOC112268260
729759,OR4F29,olfactory receptor family 4 subfamily F member 29
100132287,LOC100132287,uncharacterized LOC100132287
105378947,LOC105378947,proline-rich extensin-like protein EPR1
101928626,LOC101928626,uncharacterized LOC101928626
113219467,MIR12136,microRNA 12136
81399,OR4F16,olfactory receptor family 4 subfamily F member 16
100133331,NA,NA
107984841,NA,NA
107984847,NA,NA
107984849,NA,NA
100288069,LOC100288069,uncharacterized LOC100288069
105378580,LINC01409,long intergenic non-protein coding RNA 1409
400728,FAM87B,family with sequence similarity 87 member B
79854,LINC00115,long intergenic non-protein coding RNA 115
643837,LINC01128,long intergenic non-protein coding RNA 1128
107984850,LOC107984850,uncharacterized LOC107984850
284593,FAM41C,family with sequence similarity 41 member C
284600,LOC284600,uncharacterized LOC284600
100130417,LINC02593,long intergenic non-protein coding RNA 2593
107985728,LOC107985728,collagen alpha-1(III) chain-like
148398,SAMD11,sterile alpha motif domain containing 11
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor
339451,KLHL17,kelch like family member 17
84069,PLEKHN1,pleckstrin homology domain containing N1
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1"
57801,HES4,hes family bHLH transcription factor 4
9636,ISG15,ISG15 ubiquitin like modifier
375790,AGRN,agrin
100288175,LOC100288175,uncharacterized LOC100288175
112267874,NA,NA
105378948,LOC105378948,uncharacterized LOC105378948
401934,RNF223,ring finger protein 223
54991,C1orf159,chromosome 1 open reading frame 159
254099,LINC01342,long intergenic non-protein coding RNA 1342
406984,MIR200B,microRNA 200b
406983,MIR200A,microRNA 200a
554210,MIR429,microRNA 429
100506376,TTLL10-AS1,TTLL10 antisense RNA 1
254173,TTLL10,tubulin tyrosine ligase like 10
8784,TNFRSF18,TNF receptor superfamily member 18
7293,TNFRSF4,TNF receptor superfamily member 4
51150,SDF4,stromal cell derived factor 4
126792,B3GALT6,"beta-1,3-galactosyltransferase 6"
388581,C1QTNF12,C1q and TNF related 12
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2
101928895,LINC01786,long intergenic non-protein coding RNA 1786
6339,SCNN1D,sodium channel epithelial 1 subunit delta
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
102465434,MIR6726,microRNA 6726
109623456,SNORD167,"small nucleolar RNA, C/D box 167"
126789,PUSL1,pseudouridine synthase like 1
54973,INTS11,integrator complex subunit 11
102465435,MIR6727,microRNA 6727
80772,CPTP,ceramide-1-phosphate transfer protein
83756,TAS1R3,taste 1 receptor member 3
1855,DVL1,dishevelled segment polarity protein 1
102466740,MIR6808,microRNA 6808
54587,MXRA8,matrix remodeling associated 8
54998,AURKAIP1,aurora kinase A interacting protein 1
81669,CCNL2,cyclin L2
148413,MRPL20-AS1,MRPL20 antisense RNA 1
55052,MRPL20,mitochondrial ribosomal protein L20
107984868,NA,NA
441869,ANKRD65,ankyrin repeat domain 65
105378585,ANKRD65-AS1,ANKRD65 antisense RNA 1
643965,TMEM278,transmembrane protein 278
102724312,LINC01770,long intergenic non-protein coding RNA 1770
107985729,LOC107985729,uncharacterized LOC107985729
64856,VWA1,von Willebrand factor A domain containing 1
219293,ATAD3C,ATPase family AAA domain containing 3C
83858,ATAD3B,ATPase family AAA domain containing 3B
55210,ATAD3A,ATPase family AAA domain containing 3A
339453,TMEM240,transmembrane protein 240
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase"
643988,FNDC10,fibronectin type III domain containing 10
105378586,LOC105378586,uncharacterized LOC105378586
142678,MIB2,MIB E3 ubiquitin protein ligase 2
8510,MMP23B,matrix metallopeptidase 23B
984,CDK11B,cyclin dependent kinase 11B
728661,SLC35E2B,solute carrier family 35 member E2B
8511,MMP23A,matrix metallopeptidase 23A (pseudogene)
728642,CDK11A,cyclin dependent kinase 11A
9906,SLC35E2A,solute carrier family 35 member E2A (pseudogene)
112268218,LOC112268218,uncharacterized LOC112268218
65220,NADK,NAD kinase
2782,GNB1,G protein subunit beta 1
105378949,GNB1-DT,GNB1 divergent transcript
163688,CALML6,calmodulin like 6
339456,TMEM52,transmembrane protein 52
85452,CFAP74,cilia and flagella associated protein 74
107984872,LOC107984872,uncharacterized LOC107984872
105378589,LOC105378589,uncharacterized LOC105378589
2563,GABRD,gamma-aminobutyric acid type A receptor subunit delta
105378590,LOC105378590,uncharacterized LOC105378590
105378591,PRKCZ-DT,PRKCZ divergent transcript
5590,PRKCZ,protein kinase C zeta
100506504,PRKCZ-AS1,PRKCZ antisense RNA 1
199990,FAAP20,FA core complex associated protein 20
112268219,LOC112268219,uncharacterized LOC112268219
105378593,LOC105378593,uncharacterized LOC105378593
6497,SKI,SKI proto-oncogene
79906,MORN1,MORN repeat containing 1
100129534,LOC100129534,small nuclear ribonucleoprotein polypeptide N pseudogene
11079,RER1,retention in endoplasmic reticulum sorting receptor 1
5192,PEX10,peroxisomal biogenesis factor 10
9651,PLCH2,phospholipase C eta 2
55229,PANK4,pantothenate kinase 4 (inactive)
388585,HES5,hes family bHLH transcription factor 5
115110,TNFRSF14-AS1,TNFRSF14 antisense RNA 1
8764,TNFRSF14,TNF receptor superfamily member 14
100996583,LOC100996583,uncharacterized LOC100996583
127281,PRXL2B,peroxiredoxin like 2B
79258,MMEL1,membrane metalloendopeptidase like 1
105378597,MMEL1-AS1,MMEL1 antisense RNA 1
100287898,TTC34,tetratricopeptide repeat domain 34
105378603,NA,NA
105378602,LOC105378602,uncharacterized LOC105378602
105378601,LOC105378601,uncharacterized LOC105378601
112268220,LOC112268220,uncharacterized LOC112268220
107985732,LOC107985732,uncharacterized LOC107985732
105378600,LOC105378600,uncharacterized LOC105378600
105378598,LOC105378598,uncharacterized LOC105378598
107984904,LOC107984904,uncharacterized LOC107984904
105378599,LOC105378599,uncharacterized LOC105378599
140625,ACTRT2,actin related protein T2
440556,PRDM16-DT,PRDM16 divergent transcript
63976,PRDM16,PR/SET domain 16
100422968,MIR4251,microRNA 4251
105378606,LOC105378606,uncharacterized LOC105378606
107984909,LOC107984909,uncharacterized LOC107984909
105378605,LOC105378605,uncharacterized LOC105378605
105378604,LOC105378604,uncharacterized LOC105378604
27237,ARHGEF16,Rho guanine nucleotide exchange factor 16
1953,MEGF6,multiple EGF like domains 6
105378608,LOC105378608,uncharacterized LOC105378608
693135,MIR551A,microRNA 551a
105378607,NA,NA
127262,TPRG1L,tumor protein p63 regulated 1 like
49856,WRAP73,"WD repeat containing, antisense to TP73"
7161,TP73,tumor protein p73
105378610,TP73-AS3,TP73 antisense RNA 3
105378609,NA,NA
57212,GFOD3P,"Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene"
148870,CCDC27,coiled-coil domain containing 27
388588,SMIM1,small integral membrane protein 1 (Vel blood group)
57470,LRRC47,leucine rich repeat containing 47
9731,CEP104,centrosomal protein 104
1677,DFFB,DNA fragmentation factor subunit beta
107984910,NA,NA
339448,C1orf174,chromosome 1 open reading frame 174
100133612,LINC01134,long intergenic non-protein coding RNA 1134
728716,LINC01346,long intergenic non-protein coding RNA 1346
105376672,LINC01345,long intergenic non-protein coding RNA 1345
105376673,LINC02780,long intergenic non-protein coding RNA 2780
284661,LINC01777,long intergenic non-protein coding RNA 1777
105376674,LOC105376674,uncharacterized LOC105376674
105376679,LINC01646,long intergenic non-protein coding RNA 1646
107985376,NA,NA
55966,AJAP1,adherens junctions associated protein 1
105376680,LINC02781,long intergenic non-protein coding RNA 2781
102724429,LOC102724429,uncharacterized LOC102724429
105376681,LINC02782,long intergenic non-protein coding RNA 2782
105376682,LOC105376682,uncharacterized LOC105376682
107984911,LOC107984911,uncharacterized LOC107984911
105376686,LOC105376686,uncharacterized LOC105376686
100616421,MIR4689,microRNA 4689
261734,NPHP4,nephrocystin 4
8514,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2
26038,CHD5,chromodomain helicase DNA binding protein 5
105376687,NA,NA
6146,RPL22,ribosomal protein L22
107985733,NA,NA
102724450,RNF207-AS1,RNF207 antisense RNA 1
388591,RNF207,ring finger protein 207
23463,ICMT,isoprenylcysteine carboxyl methyltransferase
148645,ICMT-DT,ICMT divergent transcript
390992,HES3,hes family bHLH transcription factor 3
387509,GPR153,G protein-coupled receptor 153
11332,ACOT7,acyl-CoA thioesterase 7
54626,HES2,hes family bHLH transcription factor 2
83715,ESPN,espin
100422975,MIR4252,microRNA 4252
8718,TNFRSF25,TNF receptor superfamily member 25
57449,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5
79707,NOL9,nucleolar protein 9
80835,TAS1R1,taste 1 receptor member 1
107984912,LOC107984912,uncharacterized LOC107984912
3104,ZBTB48,zinc finger and BTB domain containing 48
9903,KLHL21,kelch like family member 21
107984913,LOC107984913,uncharacterized LOC107984913
148479,PHF13,PHD finger protein 13
90326,THAP3,THAP domain containing 3
55735,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11
100505887,LINC01672,long intergenic non-protein coding RNA 1672
110841581,CAMTA1-DT,CAMTA1 divergent transcript
23261,CAMTA1,calmodulin binding transcription activator 1
105376692,NA,NA
102725193,CAMTA1-AS2,CAMTA1 antisense RNA 2
101928836,CAMTA1-AS1,CAMTA1 antisense RNA 1
105376691,LOC105376691,uncharacterized LOC105376691
105376689,LOC105376689,translation initiation factor IF-2
9341,VAMP3,vesicle associated membrane protein 3
8863,PER3,period circadian regulator 3
10911,UTS2,urotensin 2
3604,TNFRSF9,TNF receptor superfamily member 9
11315,PARK7,Parkinsonism associated deglycase
54206,ERRFI1,ERBB receptor feedback inhibitor 1
107984915,LOC107984915,uncharacterized LOC107984915
102724539,LINC01714,long intergenic non-protein coding RNA 1714
105376695,LOC105376695,uncharacterized LOC105376695
50651,SLC45A1,solute carrier family 45 member 1
473,RERE,arginine-glutamic acid dipeptide repeats
102724552,RERE-AS1,RERE antisense RNA 1
106632271,SNORD128,"small nucleolar RNA, C/D box 128"
2023,ENO1,enolase 1
102465436,MIR6728,microRNA 6728
100505975,ENO1-AS1,ENO1 antisense RNA 1
112268261,LINC03153,long intergenic non-protein coding RNA 3153
765,CA6,carbonic anhydrase 6
155184,SLC2A7,solute carrier family 2 member 7
6518,SLC2A5,solute carrier family 2 member 5
80045,GPR157,G protein-coupled receptor 157
106614088,MIR34AHG,MIR34A host gene
407040,MIR34A,microRNA 34a
102724571,LNCTAM34A,long non coding transcriptional activator of miR34a
9563,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
80176,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1
100506022,LINC02606,long intergenic non-protein coding RNA 2606
84275,SLC25A33,solute carrier family 25 member 33
199953,TMEM201,transmembrane protein 201
107985734,NA,NA
105376712,LOC105376712,uncharacterized LOC105376712
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
644997,PIK3CD-AS1,PIK3CD antisense RNA 1
101929074,PIK3CD-AS2,PIK3CD antisense RNA 2
22883,CLSTN1,calsyntenin 1
56998,CTNNBIP1,catenin beta interacting protein 1
105376717,LOC105376717,uncharacterized LOC105376717
84328,LZIC,leucine zipper and CTNNBIP1 domain containing
64802,NMNAT1,nicotinamide nucleotide adenylyltransferase 1
113391335,TMEM274P,"transmembrane protein 274, pseudogene"
100847055,MIR5697,microRNA 5697
116362,RBP7,retinol binding protein 7
10277,UBE4B,ubiquitination factor E4B
23095,KIF1B,kinesin family member 1B
105376725,NA,NA
5226,PGD,phosphogluconate dehydrogenase
100526739,CENPS-CORT,CENPS-CORT readthrough
378708,CENPS,centromere protein S
1325,CORT,cortistatin
1676,DFFA,DNA fragmentation factor subunit alpha
5195,PEX14,peroxisomal biogenesis factor 14
54897,CASZ1,castor zinc finger 1
105376733,LOC105376733,uncharacterized LOC105376733
105376735,LOC105376735,uncharacterized LOC105376735
148345,CIROZ,ciliated left-right organizer protein containing ZP-N domains
23435,TARDBP,TAR DNA binding protein
10747,MASP2,MBL associated serine protease 2
6723,SRM,spermidine synthase
5394,EXOSC10,exosome component 10
105376736,EXOSC10-AS1,EXOSC10 antisense RNA 1
2475,MTOR,mechanistic target of rapamycin kinase
100873935,MTOR-AS1,MTOR antisense RNA 1
10218,ANGPTL7,angiopoietin like 7
29914,UBIAD1,UbiA prenyltransferase domain containing 1
105376737,LOC105376737,uncharacterized LOC105376737
105376739,LOC105376739,uncharacterized LOC105376739
105376740,LOC105376740,uncharacterized LOC105376740
57540,DISP3,dispatched RND transporter family member 3
112268221,NA,NA
101929181,LINC01647,long intergenic non-protein coding RNA 1647
26232,FBXO2,F-box protein 2
93611,FBXO44,F-box protein 44
26270,FBXO6,F-box protein 6
10459,MAD2L2,mitotic arrest deficient 2 like 2
374946,DRAXIN,dorsal inhibitory axon guidance protein
57085,AGTRAP,angiotensin II receptor associated protein
284498,C1orf167,chromosome 1 open reading frame 167
102724659,C1orf167-AS1,C1orf167 antisense RNA 1
4524,MTHFR,methylenetetrahydrofolate reductase
1185,CLCN6,chloride voltage-gated channel 6
100379251,NPPA-AS1,NPPA antisense RNA 1
4878,NPPA,natriuretic peptide A
4879,NPPB,natriuretic peptide B
26829,RNU5E-1,"RNA, U5E small nuclear 1"
90231,KIAA2013,KIAA2013
5351,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
9927,MFN2,mitofusin 2
60672,MIIP,migration and invasion inhibitory protein
102466982,MIR6729,microRNA 6729
943,TNFRSF8,TNF receptor superfamily member 8
102465836,MIR7846,microRNA 7846
7133,TNFRSF1B,TNF receptor superfamily member 1B
100616438,MIR4632,microRNA 4632
107984917,NA,NA
55187,VPS13D,vacuolar protein sorting 13 homolog D
677885,SNORA59A,"small nucleolar RNA, H/ACA box 59A"
105376744,LINC02766,long intergenic non-protein coding RNA 2766
9249,DHRS3,dehydrogenase/reductase 3
102466722,MIR6730,microRNA 6730
343066,AADACL4,arylacetamide deacetylase like 4
126767,AADACL3,arylacetamide deacetylase like 3
93190,CFAP107,cilia and flagella associated protein 107
390999,PRAMEF12,PRAME family member 12
65121,PRAMEF1,PRAME family member 1
105376745,LINC01784,long intergenic non-protein coding RNA 1784
440560,PRAMEF11,PRAME family member 11
343069,HNRNPCL1,heterogeneous nuclear ribonucleoprotein C like 1
65122,PRAMEF2,PRAME family member 2
400735,PRAMEF4,PRAME family member 4
343071,PRAMEF10,PRAME family member 10
441871,PRAMEF7,PRAME family member 7
440561,PRAMEF6,PRAME family member 6
101929983,PRAMEF27,PRAME family member 27
649330,HNRNPCL3,heterogeneous nuclear ribonucleoprotein C like 3
441873,PRAMEF25,PRAME family member 25
649324,PRAMEF34P,"PRAME family member 34, pseudogene"
440563,HNRNPCL2,heterogeneous nuclear ribonucleoprotein C like 2
645354,PRAMEF36P,"PRAME family member 36, pseudogene"
645359,PRAMEF26,PRAME family member 26
101060301,HNRNPCL4,heterogeneous nuclear ribonucleoprotein C like 4
343070,PRAMEF9,PRAME family member 9
400736,PRAMEF13,PRAME family member 13
391003,PRAMEF18,PRAME family member 18
343068,PRAMEF5,PRAME family member 5
391002,PRAMEF8,PRAME family member 8
645382,PRAMEF33,PRAME family member 33
653619,PRAMEF15,PRAME family member 15
729528,PRAMEF14,PRAME family member 14
645414,PRAMEF19,PRAME family member 19
391004,PRAMEF17,PRAME family member 17
645425,PRAMEF20,PRAME family member 20
126755,LRRC38,leucine rich repeat containing 38
102724856,LOC102724856,uncharacterized LOC102724856
107984918,LOC107984918,uncharacterized LOC107984918
10630,PDPN,podoplanin
107984919,NA,NA
105378612,LOC105378612,uncharacterized LOC105378612
105376756,LOC105376756,uncharacterized LOC105376756
7799,PRDM2,PR/SET domain 2
23254,KAZN,"kazrin, periplakin interacting protein"
107985467,LOC107985467,uncharacterized LOC107985467
107985468,NA,NA
105376762,KAZN-AS1,KAZN antisense RNA 1
105376759,LOC105376759,uncharacterized LOC105376759
107985469,LOC107985469,uncharacterized LOC107985469
200197,TMEM51-AS1,TMEM51 antisense RNA 1
55092,TMEM51,transmembrane protein 51
727684,TMEM51-AS2,TMEM51 antisense RNA 2
114827,FHAD1,forkhead associated phosphopeptide binding domain 1
101927417,FHAD1-AS1,FHAD1 antisense RNA 1
101927441,EFHD2-AS1,EFHD2 antisense RNA 1
79180,EFHD2,EF-hand domain family member D2
11330,CTRC,chymotrypsin C
63036,CELA2A,chymotrypsin like elastase 2A
105376767,LOC105376767,uncharacterized LOC105376767
51032,CELA2B,chymotrypsin like elastase 2B
842,CASP9,caspase 9
23341,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16
107397391,SCARNA21B,small Cajal body-specific RNA 21B
79814,AGMAT,agmatinase (putative)
84301,DDI2,DDI proteasomal shuttling factor 2
6248,RSC1A1,regulator of solute carriers 1
23207,PLEKHM2,pleckstrin homology and RUN domain containing M2
284723,SLC25A34,solute carrier family 25 member 34
110806303,SLC25A34-AS1,SLC25A34 and TMEM82 antisense RNA 1
388595,TMEM82,transmembrane protein 82
54751,FBLIM1,filamin binding LIM protein 1
440567,UQCRHL,ubiquinol-cytochrome c reductase hinge protein like
729614,SPEN-AS1,SPEN antisense RNA 1
23013,SPEN,spen family transcriptional repressor
7709,ZBTB17,zinc finger and BTB domain containing 17
149563,SRARP,steroid receptor associated and regulated protein
27129,HSPB7,heat shock protein family B (small) member 7
1187,CLCNKA,chloride voltage-gated channel Ka
1188,CLCNKB,chloride voltage-gated channel Kb
348487,FAM131C,family with sequence similarity 131 member C
1969,EPHA2,EPH receptor A2
101927479,EPHA2-AS1,EPHA2 antisense RNA 1
128272,ARHGEF19,Rho guanine nucleotide exchange factor 19
101927546,ANO7L1,anoctamin 7 like 1 (pseudogene)
79363,CPLANE2,ciliogenesis and planar polarity effector complex subunit 2
54455,FBXO42,F-box protein 42
26099,SZRD1,SUZ RNA binding domain containing 1
374955,SPATA21,spermatogenesis associated 21
55707,NECAP2,NECAP endocytosis associated 2
107984921,LINC01772,long intergenic non-protein coding RNA 1772
114819,CROCCP3,CROCC pseudogene 3
26871,RNU1-1,"RNA, U1 small nuclear 1"
107985757,TRN-GTT5-1,tRNA-Asn (anticodon GTT) 5-1
100132147,LINC01783,long intergenic non-protein coding RNA 1783
107985758,TRE-TTC4-1,tRNA-Glu (anticodon TTC) 4-1
7195,TRG-CCC1-1,tRNA-Gly (anticodon CCC) 1-1
55672,NBPF1,NBPF member 1
105376794,NA,NA
84809,CROCCP2,CROCC pseudogene 2
11209,MST1P2,macrophage stimulating 1 pseudogene 2
107985736,LOC107985736,uncharacterized LOC107985736
26869,RNU1-3,"RNA, U1 small nuclear 3"
107985759,TRG-CCC4-1,tRNA-Gly (CCC) 4-1
284729,ESPNP,espin pseudogene
100189045,TRG-CCC5-1,tRNA-Gly (CCC) 5-1
6060,RNU1-4,"RNA, U1 small nuclear 4"
11223,MST1L,macrophage stimulating 1 like (pseudogene)
100500876,MIR3675,microRNA 3675
100189298,TRG-CCC1-2,tRNA-Gly (anticodon CCC) 1-2
112267871,LINC03126,long intergenic non-protein coding RNA 3126
7193,TRE-TTC3-1,tRNA-Glu (anticodon TTC) 3-1
100189183,TRN-GTT13-1,tRNA-Asn (GTT) 13-1
105376805,LOC105376805,uncharacterized LOC105376805
791226,TRN-GTT4-1,tRNA-Asn (anticodon GTT) 4-1
26870,RNU1-2,"RNA, U1 small nuclear 2"
9696,CROCC,"ciliary rootlet coiled-coil, rootletin"
4237,MFAP2,microfibril associated protein 2
105376806,LOC105376806,uncharacterized LOC105376806
23400,ATP13A2,ATPase cation transporting 13A2
6390,SDHB,succinate dehydrogenase complex iron sulfur subunit B
11240,PADI2,peptidyl arginine deiminase 2
105376808,LOC105376808,uncharacterized LOC105376808
400743,LINC02783,long intergenic non-protein coding RNA 2783
29943,PADI1,peptidyl arginine deiminase 1
51702,PADI3,peptidyl arginine deiminase 3
100616188,MIR3972,microRNA 3972
23569,PADI4,peptidyl arginine deiminase 4
353238,PADI6,peptidyl arginine deiminase 6
55920,RCC2,regulator of chromosome condensation 2
55160,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like
107984028,LINC02810,long intergenic non-protein coding RNA 2810
81569,ACTL8,actin like 8
105376809,LOC105376809,uncharacterized LOC105376809
105376812,LOC105376812,uncharacterized LOC105376812
101927876,LINC01654,long intergenic non-protein coding RNA 1654
84966,IGSF21,immunoglobin superfamily member 21
105376814,IGSF21-AS1,IGSF21 antisense RNA 1
127707,KLHDC7A,kelch domain containing 7A
5081,PAX7,paired box 7
80834,TAS1R2,taste 1 receptor member 2
8659,ALDH4A1,aldehyde dehydrogenase 4 family member A1
100616120,MIR4695,microRNA 4695
100302276,MIR1290,microRNA 1290
126917,IFFO2,intermediate filament family orphan 2
105376815,LOC105376815,uncharacterized LOC105376815
23352,UBR4,ubiquitin protein ligase E3 component n-recognin 4
101927895,EMC1-AS1,EMC1 antisense RNA 1
23065,EMC1,ER membrane protein complex subunit 1
51154,MRTO4,"MRT4 homolog, ribosome maturation factor"
246181,AKR7L,aldo-keto reductase family 7 like (gene/pseudogene)
22977,AKR7A3,aldo-keto reductase family 7 member A3
100506730,LOC100506730,uncharacterized LOC100506730
8574,AKR7A2,aldo-keto reductase family 7 member A2
54896,SLC66A1,solute carrier family 66 member 1
832,CAPZB,capping actin protein of muscle Z-line subunit beta
105376819,LOC105376819,uncharacterized LOC105376819
105376818,LOC105376818,uncharacterized LOC105376818
105376817,LOC105376817,uncharacterized LOC105376817
105378614,MICOS10-DT,MICOS10 divergent transcript
440574,MICOS10,mitochondrial contact site and cristae organizing system subunit 10
100532736,MICOS10-NBL1,MICOS10-NBL1 readthrough
644068,RPS14P3,ribosomal protein S14 pseudogene 3
4681,NBL1,"NBL1, DAN family BMP antagonist"
3362,HTR6,5-hydroxytryptamine receptor 6
255104,TMCO4,transmembrane and coiled-coil domains 4
54546,RNF186,ring finger protein 186
105376823,LOC105376823,uncharacterized LOC105376823
23252,OTUD3,OTU deubiquitinase 3
30814,PLA2G2E,phospholipase A2 group IIE
5320,PLA2G2A,phospholipase A2 group IIA
5322,PLA2G5,phospholipase A2 group V
26279,PLA2G2D,phospholipase A2 group IID
64600,PLA2G2F,phospholipase A2 group IIF
391013,PLA2G2C,phospholipase A2 group IIC
127733,UBXN10,UBX domain protein 10
101928017,NA,NA
105376825,LOC105376825,uncharacterized LOC105376825
105376826,LOC105376826,uncharacterized LOC105376826
105376827,LINC01757,long intergenic non-protein coding RNA 1757
105376828,LOC105376828,uncharacterized LOC105376828
127731,VWA5B1,von Willebrand factor A domain containing 5B1
339505,LINC01141,long intergenic non-protein coding RNA 1141
55450,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1
79594,MUL1,mitochondrial E3 ubiquitin protein ligase 1
163933,FAM43B,family with sequence similarity 43 member B
978,CDA,cytidine deaminase
65018,PINK1,PTEN induced kinase 1
102464833,MIR6084,microRNA 6084
100861548,PINK1-AS,PINK1 antisense RNA
1650,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
57576,KIF17,kinesin family member 17
400745,SH2D5,SH2 domain containing 5
112268222,NA,NA
50809,HP1BP3,heterochromatin protein 1 binding protein 3
8672,EIF4G3,eukaryotic translation initiation factor 4 gamma 3
105376830,LOC105376830,uncharacterized LOC105376830
105376829,LOC105376829,uncharacterized LOC105376829
100302155,MIR1256,microRNA 1256
1889,ECE1,endothelin converting enzyme 1
100506801,ECE1-AS1,ECE1 antisense RNA 1
105376832,LOC105376832,uncharacterized LOC105376832
84224,NBPF3,NBPF member 3
249,ALPL,"alkaline phosphatase, biomineralization associated"
105376834,LINC02596,long intergenic non-protein coding RNA 2596
5909,RAP1GAP,RAP1 GTPase activating protein
84196,USP48,ubiquitin specific peptidase 48
401944,LDLRAD2,low density lipoprotein receptor class A domain containing 2
3339,HSPG2,heparan sulfate proteoglycan 2
23436,CELA3B,chymotrypsin like elastase 3B
10136,CELA3A,chymotrypsin like elastase 3A
101928043,LINC01635,long intergenic non-protein coding RNA 1635
29092,LINC00339,long intergenic non-protein coding RNA 339
112268223,CDC42-AS1,CDC42 antisense RNA 1
998,CDC42,cell division cycle 42
54361,WNT4,Wnt family member 4
105376845,LOC105376845,uncharacterized LOC105376845
105376850,LOC105376850,uncharacterized LOC105376850
107985377,LOC107985377,uncharacterized LOC107985377
100616433,MIR4418,microRNA 4418
105376856,LOC105376856,uncharacterized LOC105376856
9923,ZBTB40,zinc finger and BTB domain containing 40
2046,EPHA8,EPH receptor A8
102466615,MIR6127,microRNA 6127
712,C1QA,complement C1q A chain
714,C1QC,complement C1q C chain
713,C1QB,complement C1q B chain
2048,EPHB2,EPH receptor B2
100616391,MIR4684,microRNA 4684
100422914,MIR4253,microRNA 4253
646262,LACTBL1,lactamase beta like 1
729059,TEX46,testis expressed 46
23028,KDM1A,lysine demethylase 1A
100422866,MIR3115,microRNA 3115
7798,LUZP1,leucine zipper protein 1
3352,HTR1D,5-hydroxytryptamine receptor 1D
100996511,LINC01355,long intergenic non-protein coding RNA 1355
10236,HNRNPR,heterogeneous nuclear ribonucleoprotein R
80818,ZNF436,zinc finger protein 436
148898,ZNF436-AS1,ZNF436 antisense RNA 1
6920,TCEA3,transcription elongation factor A3
55616,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
1870,E2F2,E2F transcription factor 2
101928163,LOC101928163,uncharacterized LOC101928163
105376859,LOC105376859,uncharacterized LOC105376859
3399,ID3,inhibitor of DNA binding 3
107984928,LOC107984928,uncharacterized LOC107984928
259283,MDS2,myelodysplastic syndrome 2 translocation associated
6135,RPL11,ribosomal protein L11
6924,ELOA,elongin A
100506963,ELOA-AS1,ELOA antisense RNA 1
57095,PITHD1,PITH domain containing 1
105376860,LOC105376860,uncharacterized LOC105376860
11313,LYPLA2,lysophospholipase 2
2582,GALE,UDP-galactose-4-epimerase
3155,HMGCL,3-hydroxy-3-methylglutaryl-CoA lyase
105376861,LOC105376861,uncharacterized LOC105376861
2517,FUCA1,alpha-L-fucosidase 1
1269,CNR2,cannabinoid receptor 2
107984929,NA,NA
100616492,MIR378F,microRNA 378f
55629,PNRC2,proline rich nuclear receptor coactivator 2
10772,SRSF10,serine and arginine rich splicing factor 10
105378615,LOC105378615,uncharacterized LOC105378615
105376863,LOC105376863,uncharacterized LOC105376863
107984931,LOC107984931,uncharacterized LOC107984931
127294,MYOM3,myomesin 3
107985737,MYOM3-AS1,MYOM3 antisense RNA 1
105376864,LOC105376864,uncharacterized LOC105376864
58985,IL22RA1,interleukin 22 receptor subunit alpha 1
163702,IFNLR1,interferon lambda receptor 1
284632,LINC02800,long intergenic non-protein coding RNA 2800
105376871,GRHL3-AS1,GRHL3 antisense RNA 1
57822,GRHL3,grainyhead like transcription factor 3
90529,STPG1,sperm tail PG-rich repeat containing 1
57185,NIPAL3,NIPA like domain containing 3
100750325,RCAN3AS,RCAN3 antisense RNA
11123,RCAN3,RCAN family member 3
100506985,NCMAP-DT,NCMAP divergent transcript
400746,NCMAP,non-compact myelin associated protein
10250,SRRM1,serine and arginine repetitive matrix 1
