GeneID,Symbol,Gene Name / Type
399693,CCDC187,coiled-coil domain containing 187
26102,DKFZP434A062,uncharacterized LOC26102
26086,GPSM1,G protein signaling modulator 1
728489,DNLZ,DNL-type zinc finger
64170,CARD9,caspase recruitment domain family member 9
6621,SNAPC4,small nuclear RNA activating complex polypeptide 4
10807,ENTR1,endosome associated trafficking regulator 1
23203,PMPCA,"peptidase, mitochondrial processing subunit alpha"
56623,INPP5E,inositol polyphosphate-5-phosphatase E
9919,SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor"
158055,C9orf163,chromosome 9 putative open reading frame 163
4851,NOTCH1,notch receptor 1
100616242,MIR4673,microRNA 4673
100616301,MIR4674,microRNA 4674
101928483,NALT1,NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1
401561,LINC01451,long intergenic non-protein coding RNA 1451
105376325,LOC105376325,uncharacterized LOC105376325
102724193,LOC102724193,uncharacterized LOC102724193
101928612,LNCEGFL7OS,lncRNA EGFL7 opposite strand
51162,EGFL7,EGF like domain multiple 7
406913,MIR126,microRNA 126
10555,AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2
138311,DIPK1B,divergent protein kinase domain 1B
84973,SNHG7,small nucleolar RNA host gene 7
677824,SNORA17B,"small nucleolar RNA, H/ACA box 17B"
677804,SNORA17A,"small nucleolar RNA, H/ACA box 17A"
414332,LCN10,lipocalin 10
158062,LCN6,lipocalin 6
100128593,LOC100128593,uncharacterized LOC100128593
102465431,MIR6722,microRNA 6722
138307,LCN8,lipocalin 8
389812,LCN15,lipocalin 15
107987143,LOC107987143,uncharacterized LOC107987143
85014,TMEM141,transmembrane protein 141
84960,CCDC183,coiled-coil domain containing 183
100131193,CCDC183-AS1,CCDC183 antisense RNA 1
55684,RABL6,"RAB, member RAS oncogene family like 6"
100422860,MIR4292,microRNA 4292
389813,AJM1,apical junction component 1 homolog
29085,PHPT1,phosphohistidine phosphatase 1
158056,MAMDC4,MAM domain containing 4
8721,EDF1,endothelial differentiation related factor 1
7186,TRAF2,TNF receptor associated factor 2
105376326,LOC105376326,uncharacterized LOC105376326
100616480,MIR4479,microRNA 4479
54461,FBXW5,F-box and WD repeat domain containing 5
733,C8G,complement C8 gamma chain
286256,LCN12,lipocalin 12
101928638,LINC02692,long intergenic non-protein coding RNA 2692
5730,PTGDS,prostaglandin D2 synthase
401562,LCNL1,lipocalin like 1
286257,PAXX,PAXX non-homologous end joining factor
9022,CLIC3,chloride intracellular channel 3
20,ABCA2,ATP binding cassette subfamily A member 2
401563,LINC02908,long intergenic non-protein coding RNA 2908
2529,FUT7,fucosyltransferase 7
56654,NPDC1,"neural proliferation, differentiation and control 1"
954,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
105376327,LOC105376327,uncharacterized LOC105376327
89958,SAPCD2,suppressor APC domain containing 2
91373,UAP1L1,UDP-N-acetylglucosamine pyrophosphorylase 1 like 1
100289341,MAN1B1-DT,MAN1B1 divergent transcript
11253,MAN1B1,mannosidase alpha class 1B member 1
101930307,NA,NA
29952,DPP7,dipeptidyl peptidase 7
2902,GRIN1,glutamate ionotropic receptor NMDA type subunit 1
105376328,LOC105376328,uncharacterized LOC105376328
389816,LRRC26,leucine rich repeat containing 26
100500811,MIR3621,microRNA 3621
100505993,TMEM210,transmembrane protein 210
29882,ANAPC2,anaphase promoting complex subunit 2
8636,SSNA1,SS nuclear autoantigen 1
286262,TPRN,taperin
94107,TMEM203,transmembrane protein 203
27158,NDOR1,NADPH dependent diflavin oxidoreductase 1
727800,RNF208,ring finger protein 208
375791,CYSRT1,cysteine rich tail 1
643596,RNF224,ring finger protein 224
142680,SLC34A3,solute carrier family 34 member 3
10383,TUBB4B,tubulin beta 4B class IVb
401565,CIMIP2A,ciliary microtubule inner protein 2A
100129722,STPG3-AS1,STPG3 antisense RNA 1
441476,STPG3,sperm-tail PG-rich repeat containing 3
25920,NELFB,negative elongation factor complex member B
54863,TOR4A,torsin family 4 member A
441478,NRARP,NOTCH regulated ankyrin repeat protein
54932,EXD3,exonuclease 3'-5' domain containing 3
10811,NOXA1,NADPH oxidase activator 1
377841,ENTPD8,ectonucleoside triphosphate diphosphohydrolase 8
26012,NSMF,NMDA receptor synaptonuclear signaling and neuronal migration factor
102466223,MIR7114,microRNA 7114
