GeneID,GSM2794663,GSM2794664,GSM2794665,GSM2794666,GSM2794667,GSM2794668,GSM2794669,GSM2794670
100506621,0.02839,0.01026,0.03041,0.02701,0.02901,0.008182,0.02353,0.01391
151887,0.4573,0.4508,0.501,0.4303,0.3027,0.2427,0.4782,0.3974
101929694,0,0,0,0,0.03717,0,0,0
113218483,0,0,0,0,0,0.4554,0,0
100129297,0.05755,0.0624,0.06165,0.2465,0.2647,0.1493,0,0.08463
344807,0.03727,0.02021,0.03993,0.0266,0.02857,0.01612,0.02317,0.0274
131450,0.01259,0,0.05395,0.1258,0.0193,0.03266,0.01565,0.01851
29083,10.84,9.548,13.6,13.65,8.962,10.94,9.577,7.932
25871,32.45,30.61,33.36,34.04,24.33,30.6,25.64,22.72
107986114,0.6506,0.506,0.2424,0.4038,0.3903,0.5381,0.5451,0.5823
107986113,0,0.02074,0.04099,0,0,0.01654,0.04757,0.02813
101929717,0,0.04399,0,0.05792,0,0.01754,0.02523,0.05967
102723430,0,0,0,0,0,0,0,0
91653,1.679,1.618,1.906,1.752,2.255,1.955,2.248,1.868
55779,1.668,1.819,2.554,1.605,2.593,2.656,2.415,1.654
100874029,0.2856,0.2322,0.2294,0.3057,0.6567,0.3704,0.4438,0.3149
102466253,0,0,0,0,0,0,0,0
152185,9.508,8.531,9.869,8.661,9.315,8.734,9.104,6.655
54847,44.5,44.71,63.72,48.28,70.29,63.05,77.03,69.79
100616476,0,0,0,0,0,0,0,0
205717,7.868,6.677,10.43,8.123,7.632,8.045,9.68,6.543
80218,45.84,41.27,64.39,68.15,33.03,54.63,45.21,40.14
523,65.73,62.81,86.28,77.46,73.64,91.66,81.5,62.87
54762,1.098,0.7974,1.343,1.079,0.8734,1.442,1.249,1.34
254887,7.833,7.09,11.19,8.628,7.681,9.23,8.688,6.444
57577,0.7259,0.8944,0.8483,0.9421,0.925,0.9498,0.8088,0.5753
105374048,0,0,0,0,0,0,0,0
79691,17.25,16.83,21.21,18.78,16.33,17.59,18.73,17.37
1814,0,0,0,0,0.02297,0,0,0
107986115,0,0,0,0,0,0,0,0
7634,0.01661,0,0,0,0,0,0,0
201633,0.002166,0.004697,0.004641,0.01237,0.006641,0.009366,0.01616,0.00637
26137,0.01031,0.007451,0.007362,0.01962,0.0158,0.01337,0.01923,0.01011
693153,0,0,0,0,0,0,0,0
